4.99.1.M4	phenylacetonitrile-specifying protein	RXN-12025+RXN-8136+RXNQT-4351
2.6.1.66	valine--pyruvate aminotransferase	VALINE-PYRUVATE-AMINOTRANSFER-RXN
4.2.1.54	lactoyl-CoA dehydratase	LACTOYL-COA-DEHYDRATASE-RXN
1.3.1.95	acryloyl-CoA reductase	RXN-8568
6.3.5.4	L-aspartate:L-glutamine amido-ligase (AMP-forming)	ASNSYNB-RXN
6.3.4.16	ammonia-dependent carbamoyl-phosphate synthase	RXN-13202
2.7.2.11	glutamate 5-kinase	GLUTKIN-RXN
1.2.1.41	glutamate-5-semialdehyde dehydrogenase	GLUTSEMIALDEHYDROG-RXN
2.6.1.13	ornithine-delta-aminotransferase	ORNITHINE-GLU-AMINOTRANSFERASE-RXN
3.3.1.1	adenosylhomocysteinase	ADENOSYLHOMOCYSTEINASE-RXN
2.6.1.36	lysine epsilon-aminotransferase	L-LYSINE-AMINOTRANSFERASE-RXN
1.13.12.2	L-lysine monooxygenase	LYSINE-2-MONOOXYGENASE-RXN
1.5.1.8	L-lysine-alpha-ketoglutarate reductase	1.5.1.8-RXN
5.4.3.2	L-lysine 2,3-aminomutase	LYSINE-23-AMINOMUTASE-RXN
5.4.3.3	L-beta-lysine-5,6-aminomutase	BETA-LYSINE-56-AMINOMUTASE-RXN
1.4.1.11	3,5-diaminohexanoate dehydrogenase	1.4.1.11-RXN
2.3.1.247	(S)-5-amino-3-oxohexanoate cleavage enzyme	R125-RXN
4.3.1.14	3-aminobutyryl-CoA deaminase	4.3.1.14-RXN
1.5.1.9	saccharopine dehydrogenase	1.5.1.9-RXN
1.2.1.31	alpha-aminoadipic semialdehyde dehydrogenase	1.2.1.31-RXN
3.5.1.30	delta-aminovaleramidase	5-AMINOPENTANAMIDASE-RXN
1.4.3.3	D-amino acid oxidase	RXN-8163
1.5.3.7	pipecolate oxidase	L-PIPECOLATE-OXIDASE-RXN
2.6.1.39	2-aminoadipatee:2-oxoglutarate aminotransferase	2-AMINOADIPATE-AMINOTRANSFERASE-RXN
1.1.99.39	D-2-hydroxyglutarate dehydrogenase	RXN-14932
2.6.1.48	5-aminovalerate transaminase	VAGL-RXN
2.8.3.13	succinyl-CoA-glutarate CoA-transferase	RXN-14724
1.14.11.64	glutarate hydroxylase	RXN0-7316
1.1.5.13	L-2-hydroxyglutarate dehydrogenase	RXN0-7319
2.1.1.5	betaine-homocysteine S-methyltransferase	2.1.1.5-RXN
1.13.11.20	cysteine dioxygenase	CYSTEINE-DIOXYGENASE-RXN
1.8.3.1	sulfite oxidase	SULFITE-OXIDASE-RXN
1.1.1.103	threonine dehydrogenase	THREODEHYD-RXN
2.7.1.177	L-threonine kinase	RXN-8626
2.7.2.1/2.7.2.7/2.7.2.14/2.7.2.15	propionate kinase	PROPKIN-RXN
2.3.1.29	2-amino-3-ketobutyrate CoA ligase	AKBLIG-RXN
1.14.14.1	melatonin 6-hydroxylase	RXN-11056
2.5.1.120	aminodeoxyfutalosine synthase	RXN-15264
3.2.2.26	futalosine hydrolase	RXN-9780
2.1.1.248	monomethylamine methyltransferase	RXN-8098
2.1.1.249	dimethylamine methyltransferase	RXN-8100
2.1.1.250	trimethylamine methyltransferase	RXN-8102
2.1.1.247	methylated MttC protein:CoM methyltransferase	RXN-8103+RXN-8101+RXN-8099
2.1.1.86	methyl-H4MPT:coenzyme M methyltransferase	2.1.1.86-RXN
2.3.1.169	acetyl-CoA decarbonylase	ACETYLSYNCLTH-RXN
2.1.1.245	corrinoid protein:5-methyltetrahydrosarcinapterin methyltransferase	RXN-12908
2.8.4.1	methyl-coenzyme M reductase	METHYL-COM-HTP-RXN
1.1.1.203	D-galacturonate dehydrogenase	URONATE-DEHYDROGENASE-RXN+RXN-11407
4.2.1.40	D-glucarate dehydratase	GLUCARDEHYDRA-RXN
5.3.1.17	5-dehydro-4-deoxy-D-glucuronate isomerase	5.3.1.17-RXN
1.1.1.127	2-keto-3-deoxy-D-gluconate dehydrogenase	1.1.1.127-RXN
5.5.1.27	D-glucarolactone cycloisomerase	RXN-15907+RXN-15902
1.1.1.365	D-galacturonate reductase	RXN-11151
4.2.1.146	L-galactonate dehydratase	RXN-11380
4.1.2.54	2-keto-3-deoxy-L-galactonate aldolase	RXN-11381
1.1.1.372	L-glyceraldehyde reductase	RXN-11382
5.4.1.4	D-galactarolactone isomerase	RXN-15901
4.2.1.41	5-dehydro-4-deoxy-D-glucarate dehydratase	4.2.1.41-RXN
1.2.1.26	alpha-ketoglutarate semialdehyde dehydrogenase	25-DIOXOVALERATE-DEHYDROGENASE-RXN+RXN-8775
2.7.1.22	nicotinamide riboside kinase	RIBOSYLNICOTINAMIDE-KINASE-RXN
2.7.7.1	nicotinamide mononucleotide adenylyltransferase	2.7.7.1-RXN
2.3.1.286	histone acetyllysine N-acetyltransferase	RXN-15025
6.3.4.21	nicotinate phosphoribosyl transferase	NICOTINATEPRIBOSYLTRANS-RXN
1.2.1.4	aldehyde dehydrogenase	ALDEHYDE-DEHYDROGENASE-NADP+-RXN+RXN0-3962
2.4.1.285	UDP-GlcNAc:ribostamycin N-acetylglucosaminyltransferase	RXN-13176
3.5.1.113	2'''-acetyl-6'''-hydroxyneomycin C deacetylase	RXN-13177
1.1.3.44	6'''-hydroxyneomycin C 6'-oxidase	RXN-13174
2.6.1.95	glutamate--6'-oxoneomycin C aminotransferase	RXN-13175
1.21.3.1	isopenicillin N synthase	1.21.3.1-RXN
5.1.1.17	isopenicillin N epimerase	5.1.1.17-RXN
1.14.20.1	deacetoxycephalosporin C synthase	1.14.20.1-RXN
1.14.11.26	deacetoxycephalosporin C hydroxylase	1.14.11.26-RXN
2.3.1.175	deacetylcephalosporin C acetyltransferase	2.3.1.175-RXN
2.1.3.7	3-hydroxymethylcephem O-carbamoyltransferase	RXN-8810
2.3.1.164	acyl coenzyme A: isopenicillin N acyltransferase	RXN-8809
1.1.1.56	ribitol dehydrogenase	RIBITOL-2-DEHYDROGENASE-RXN
1.1.1.11	D-arabitol 4-dehydrogenase	D-ARABINITOL-4-DEHYDROGENASE-RXN
5.3.1.4	L-arabinose isomerase	ARABISOM-RXN
1.1.1.21	L-arabinose reductase	RXN-8772
1.1.1.307	D-xylose reductase	RXN-8773
1.1.1.179	D-xylose dehydrogenase	D-XYLOSE-1-DEHYDROGENASE-NADP+-RXN
1.1.1.359	xylose dehydrogenase	RXN-14641
3.1.1.110	xylono-1,5-lactonase	RXN-12246
4.2.1.82	D-xylonate dehydratase	XYLONATE-DEHYDRATASE-RXN
4.1.2.28	2-dehydro-3-deoxy-D-pentonate aldolase	4.1.2.28-RXN
4.2.1.5	D-arabinonate dehydratase	ARABINONATE-DEHYDRATASE-RXN
4.2.1.141	2-dehydro-3-deoxy-D-arabinonate dehydratase	RXN-8777
1.1.1.376	L-arabinose dehydrogenase	RXN-8774
3.1.1.15	L-arabinolactonase	L-ARABINONOLACTONASE-RXN
4.2.1.25	L-arabonate dehydratase	L-ARABINONATE-DEHYDRATASE-RXN
4.2.1.43	L-2-keto-3-deoxyarabonate dehydratase	4.2.1.43-RXN
4.1.2.18	2-dehydro-3-deoxy-L-arabinonate aldolase	4.1.2.18-RXN
1.1.1.12	L-arabinitol 4-dehydrogenase	L-ARABINITOL-4-DEHYDROGENASE-RXN
1.1.1.10	L-xylulose reductase	L-XYLULOSE-REDUCTASE-RXN
2.7.1.16	ribulokinase	RXN0-5116
2.7.1.53	L-xylulose kinase	LYXK-RXN
5.1.3.4	L-ribulose-5-phosphate 4-epimerase	RIBULPEPIM-RXN
1.1.1.9	NAD-xylitol dehydrogenase	D-XYLULOSE-REDUCTASE-RXN
2.7.1.17	xylulokinase	XYLULOKIN-RXN
5.3.1.3	D-arabinose isomerase	DARABISOM-RXN
2.7.1.47	D-ribulokinase	D-RIBULOKIN-RXN
4.2.1.139	(6aR,11aR)-3,9-dihydroxypterocarpan synthase	RXN-13699+RXN-3602
1.14.14.93	3,9-dihydroxypterocarpan 6a-monooxygenase	RXN-4505
2.1.1.212	2,7,4'-trihydroxyisoflavanone-4'-O-methyltransferase	RXN-3624
1.14.14.88	formononetin,NADPH:oxygen oxidoreductase (2-hydroxylating)	RXN-3762
2.1.1.270	6a-hydroxymaackiain-3-O-methyltransferase	RXN-4002
2.7.1.20	adenosine kinase	ADENOSINE-KINASE-RXN
4.1.1.21	phosphoribosylaminoimidazole carboxylase	AIRCARBOXY-RXN
4.1.1.97	OHCU decarboxylase	RXN-6201
2.7.1.35	pyridoxamine kinase	PYRAMKIN-RXN+PYRIDOXKIN-RXN
1.2.1.72	D-erythrose-4-phosphate dehydrogenase	ERYTH4PDEHYDROG-RXN
1.1.1.290	erythronate-4-phosphate dehydrogenase	ERYTHRON4PDEHYDROG-RXN
1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase	RXN-13179
2.6.99.2	pyridoxine 5'-phosphate synthase	PDXJ-RXN
1.4.3.5	pyridoxamine 5'-phosphate oxidase	PMPOXI-RXN+PNPOXI-RXN
3.5.4.5	deoxycytidine deaminase	CYTIDEAM-RXN+CYTIDEAM2-RXN
2.7.1.74	2'-deoxycytidine kinase	DEOXYCYTIDINE-KINASE-RXN
2.7.1.21/2.7.1.145	2'-deoxyuridine kinase	DURIDKI-RXN+THYKI-RXN
2.4.2.2/2.4.2.4	thymidine phosphorylase	THYM-PHOSPH-RXN
3.5.4.13	dCTP deaminase	DCTP-DEAM-RXN
3.6.1.23	dUTP diphosphatase	DUTP-PYROP-RXN
1.3.1.2	dihydropyrimidine dehydrogenase	1.3.1.2-RXN
3.5.2.2	dihydropyrimidinase	DIHYDROPYRIMIDINASE-RXN
3.5.1.6	beta-ureidopropionase	BETA-UREIDOPROPIONASE-RXN
2.7.1.213	cytidine kinase	CYTIKIN-RXN
2.7.4.14/2.7.4.25	CMP kinase	RXN-11832
2.7.1.48	uridine kinase	URIDINEKIN-RXN
3.2.2.3	uridine nucleosidase	URIDINE-NUCLEOSIDASE-RXN
2.7.4.22	UMP kinase	RXN-12002
2.6.1.M10	UDP-3-dehydro-D-glucose transaminase	RXN-9579
3.1.4.M4	UDP-alpha-D-kanosamine hydrolase	RXN-9580
2.7.1.179	kanosamine 6-kinase	RXN-9581
4.2.1.M26	aminodehydroquinate synthase	RXN-9585
4.2.1.M25	5-deoxy-5-amino-3-dehydroquinate dehydratase	RXN-9586
4.2.1.144	3-amino-5-hydroxybenzoate synthase	RXN-9587
1.1.1.237	(R+)-3-(4-hydroxyphenyl)lactate:NADP+ oxidoreductase	1.1.1.222-RXN
1.14.19.28	sn-1 stearoyl-lipid 9-desaturase	RXN-16023
1.14.19.45	sn-1 oleoyl-lipid 12-desaturase	RXN-16068
1.14.19.46	linoleoyl-lipid 6-desaturase	RXN-16069
1.14.19.36	gamma-linolenoyl-lipid 15-desaturase	RXN-16070
2.5.1.47	O-acetylserine sulfhydrylase	ACSERLY-RXN
1.8.1.M5	dissimilatory sulfite reductase	RXN-17803
1.8.99.2	adenylylsulfate reductase	ADENYLYLSULFATE-REDUCTASE-RXN
4.4.1.25	L-cysteate sulfo-lyase	4.4.1.25-RXN
4.1.1.79	sulfopyruvate decarboxylase	R231-RXN
2.3.3.15	sulfoacetaldehyde acetyltransferase	RXN-2364
1.8.5.2	thiosulphate:quinone oxidoreductase	1.8.5.2-RXN
2.6.1.77	taurine:pyruvate aminotransferase	TAURINE-AMINOTRANSFERASE-RXN
1.4.99.2	taurine dehydrogenase	TAURINE-DEHYDROGENASE-RXN
1.14.11.17	alpha-ketoglutarate-dependent taurine dioxygenase	RXN0-299
1.1.1.50/1.1.1.209/1.1.1.213	androsterone 3alpha-dehydrogenase	1.1.1.209-RXN
1.3.99.5	androsterone Delta4-dehydrogenase	RXN-12124
2.3.1.M29	malonamyl-CoA:OxyC transferase	RXN-17974
2.3.1.260	nonaketamide synthase	RXN-17985
1.1.1.M31	nonaketamide C9-dehydrogenase	RXN-17986
4.2.1.M9	tetracycline nonaketamide D-ring cyclase/dehydratase	RXN-17987
4.2.1.M10	tetracycline nonaketamide B/C rings cyclase/dehydratase	RXN-17984
5.5.1.-	pretetramide synthase	RXN-17983
2.1.1.M31	pretetramide C-6-methyltransferase	RXN-17982
1.14.13.232	6-methylpretetramide 4-monooxygenase	RXN-17981
1.14.13.233	4-hydroxy-6-methylpretetramide 12a-monooxygenase	RXN-17980
2.6.1.M2	4-dedimethylamino-4-oxo-anhydrotetracycline transaminase	RXN-17979
2.1.1.335	4-amino-anhydrotetracycline Nalpha-methyltransferase	RXN-17977+RXN-17978
1.14.13.38	anhydrotetracycline 6-monooxygenase	ANHYDROTETRACYCLINE-MONOOXYGENASE-RXN
1.3.98.4	12-dehydrotetracycline dehydrogenase	RXN-17988+RXN-17975
1.14.13.234	12-dehydrotetracycline 5-monooxygenase	RXN-17976
2.8.3.22	succinyl CoA:L-malate CoA transferase	RXN-8964
2.7.7.73	sulfur carrier protein ThiS adenylyltransferase	RXN-9789
4.1.99.19	2-iminoacetate synthase	RXN-11319
2.8.1.10	1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase	THIAZOLSYN2-RXN
2.7.4.7	phosphomethylpyrimidine kinase	PYRIMSYN3-RXN
2.5.1.3	thiamine phosphate synthase	RXN-12611+RXN-12610+THI-P-SYN-RXN
2.7.4.16	thiamine monophosphate kinase	THI-P-KIN-RXN
5.3.99.10	thiazole tautomerase	RXN-12609
2.4.2.60	cysteine-dependent adenosine diphosphate thiazole synthase	RXNQT-4300
3.1.3.100	thiamine phosphate phosphatase	RXNQT-4191
2.7.6.2	thiamine pyrophosphokinase	THIAMIN-PYROPHOSPHOKINASE-RXN
4.2.3.6	trichodiene synthase	TRICHODIENE-SYNTHASE-RXN
1.14.15.M57	3-hexaprenyl-4-aminobenzoate monooxygenase	RXN-14292
1.14.15.M7	3-hexaprenyl-4-hydroxybenzoate monooxygenase	RXN3O-58
2.1.1.114	3-hexaprenyl-4,5-dihydroxybenzoate O-methyltransferase	RXN-20172
1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase	1.1.1.136-RXN
1.1.1.335	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase	RXN-13585
2.6.1.98	UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase	RXN-13596
2.3.1.201	UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase	RXN-13589
5.1.3.23	UDP-2,3-diacetamido-2,3-dideoxyglucuronic acid 2-epimerase	5.1.3.23-RXN
3.5.3.-	UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate amidotranferase	RXN-14783+RXN-14782
4.2.1.135	UDP-N-acetylglucosamine 4,6-dehydratase	RXN-13252
4.2.1.115	UDP-N-acetylglucosamine 4,6-dehydratase	RXN-9998
5.1.3.28	UDP-2-acetamido-2,6-dideoxy-beta-L-talose 2-epimerase	RXN-14761
1.13.11.8	protocatechuate:oxygen 4,5-oxidoreductase (decyclizing)	PROTOCATECHUATE-45-DIOXYGENASE-RXN
1.1.1.312	2-hydroxy-4-carboxymuconate-6-semialdehyde dehydrogenase	1.2.1.45-RXN
4.2.3.17	taxadiene synthase	4.2.3.17-RXN
2.4.1.38	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase	2.4.1.38-RXN+RXN-15276+RXN-15278
2.4.1.150	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase	2.4.1.150-RXN
2.7.1.50	hydroxyethylthiazole kinase	THIAZOLSYN3-RXN
2.7.1.49	hydroxymethylpyrimidine kinase	OHMETPYRKIN-RXN
